2026-05-15 19:43:04 [INFO] [API] GET /levels/me 304 2ms user=2
2026-05-15 19:43:04 [INFO] [API] GET /bookmarks/check/40 304 1ms user=2
2026-05-15 19:43:04 [INFO] [API] GET /posts/40/comments 304 1ms user=2
2026-05-15 19:43:04 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:43:04 [WARN] [API] GET /avatar/avatar_user2_1778758474013.jpg 404 1ms user=2
2026-05-15 19:43:22 [INFO] [API] PATCH /40/status 200 1ms user=1
2026-05-15 19:43:22 [INFO] [API] GET /40 200 1ms user=1
2026-05-15 19:43:22 [INFO] [API] GET /posts/40/comments 304 1ms user=1
2026-05-15 19:43:22 [INFO] [API] GET /bookmarks/check/40 304 1ms user=1
2026-05-15 19:43:22 [WARN] [API] GET /avatar/avatar_user2_1778758474013.jpg 404 1ms user=1
2026-05-15 19:43:24 [INFO] [API] PATCH /40/status 200 1ms user=1
2026-05-15 19:43:24 [INFO] [API] GET /40 200 1ms user=1
2026-05-15 19:43:24 [INFO] [API] GET /bookmarks/check/40 304 0ms user=1
2026-05-15 19:43:24 [INFO] [API] GET /posts/40/comments 304 1ms user=1
2026-05-15 19:43:24 [WARN] [API] GET /avatar/avatar_user2_1778758474013.jpg 404 0ms user=1
2026-05-15 19:43:25 [INFO] [API] GET /notifications/unread-count 304 1ms user=1
2026-05-15 19:43:25 [INFO] [API] GET /friend-requests 304 0ms user=1
2026-05-15 19:43:26 [INFO] [API] GET / 200 2ms user=1
2026-05-15 19:43:26 [INFO] [API] GET /notifications/unread-count 304 2ms user=1
2026-05-15 19:43:26 [INFO] [API] GET /zone-access/music 304 2ms user=1
2026-05-15 19:43:26 [INFO] [API] GET /levels/me 304 1ms user=1
2026-05-15 19:43:26 [INFO] [API] GET / 304 1ms user=1
2026-05-15 19:43:26 [INFO] [API] GET /friend-requests 304 1ms user=1
2026-05-15 19:43:34 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:43:34 [INFO] [API] GET /friend-requests 304 0ms user=2
2026-05-15 19:43:56 [INFO] [API] GET /notifications/unread-count 304 1ms user=1
2026-05-15 19:43:56 [INFO] [API] GET /friend-requests 304 0ms user=1
